4809	1	5754	132
4962	35	5745	32
1752	69	1519	239
2759	56	6934	132
210	158	3793	303
829	151	4962	29
3767	125	4640	310
4713	56	3223	136
331	61	4827	4
254	114	3656	164
4809	141	6295	308
4943	114	1077	201
5812	99	5166	232
1453	151	3821	150
3026	35	2494	211
257	141	786	142
6564	114	5745	215
6628	151	4168	114
934	114	3884	254
6108	86	1802	174
5812	141	4254	229
3593	1	4713	40
1101	114	4962	193
3120	99	4713	101
853	114	6037	302
640	175	3793	270
4023	69	3372	330
6628	147	1231	78
4846	218	3138	259
1477	151	389	278
3934	114	5745	178
3577	169	2710	206
5892	114	4962	362
4809	102	5754	98
4419	114	3896	70
1050	69	4127	343
5469	102	3821	334
3183	194	5819	345
4708	146	4314	50
2663	35	2679	324
926	151	951	307
4870	114	6948	36
2339	114	4029	189
1125	114	5069	13
2183	106	4700	300
5058	1	5622	112
1453	141	5886	239
4962	146	5678	117
3031	69	5132	175
3210	218	2548	79
3238	69	3934	364
1110	114	3656	229
222	69	1638	150
6699	114	1908	323
5328	69	1752	236
716	102	3488	135
5719	114	2063	357
1122	61	1453	79
5087	56	4713	295
743	218	4962	251
3557	53	1050	197
5796	215	6561	204
2679	69	3807	307
4708	146	3385	141
1583	114	1168	257
4370	146	2611	246
3076	114	5167	187
5559	204	6917	191
5897	147	6554	183
1752	69	2663	83
4131	1	602	204
2679	56	376	223
2365	114	1168	272
1386	40	2044	324
1505	114	5745	341
6934	114	5792	42
119	69	2221	205
2695	61	208	244
926	40	5745	330
3992	114	3381	336
18	35	553	66
4962	151	5892	224
4713	1	1168	306
6076	114	541	118
2858	114	1503	310
6704	159	2256	143
6617	141	2976	98
5401	114	4459	215
1231	146	1412	127
4713	56	1168	217
4428	35	5005	318
2922	150	6554	84
4697	19	5892	141
3917	2	1364	70
6284	151	66	331
1316	114	1371	12
313	114	6954	329
3810	114	5745	147
2359	1	4035	52
4962	50	5892	263
1456	114	4962	329
2679	56	755	182
776	218	3981	320
6224	122	153	246
5083	40	6554	320
2426	204	5753	176
7112	69	2998	13
2679	71	2663	65
2198	35	4962	245
688	218	4412	102
5057	1	216	55
5745	199	926	217
5954	69	1137	13
2679	114	5745	299
5255	203	3017	27
5745	146	2150	190
2916	69	1764	239
4177	40	3026	264
5022	56	4640	48
4023	69	4131	236
588	114	5754	190
4655	16	914	293
4846	114	1231	148
992	56	1963	144
2916	114	468	339
2663	199	4640	181
2275	114	749	81
5897	199	6554	350
33	35	4053	346
4713	116	1168	293
52	151	5189	322
5255	114	1044	142
2906	214	4713	217
2679	218	2352	253
4965	125	4597	70
798	218	5745	162
4265	151	7066	91
1824	114	4962	250
5275	133	2686	20
1802	61	6356	26
5448	218	5892	194
1787	114	5169	112
1895	69	3821	56
4641	218	632	251
1453	125	3636	107
4846	116	32	215
221	114	3078	294
1586	114	4988	139
1752	218	6312	310
1816	1	6954	256
4306	216	4962	36
798	35	926	145
1586	114	2850	213
7087	69	830	94
1453	69	4962	87
4193	99	6628	8
